State,state,TIME,MR,PD,GINI,BEDS,SR,HDI,LE,PR,T90,T180
Alaska,AK,30,0.0012186601238158685,1.2863,0.422,2.2,0.21,0.937,78.8,0.1054,0,0
Alaska,AK,90,0.001624880165087825,1.2863,0.422,2.2,0.21,0.937,78.8,0.1054,1,0
Alaska,AK,180,0.005957893938655357,1.2863,0.422,2.2,0.21,0.937,78.8,0.1054,0,1
Alabama,AL,30,0.0015006125788335513,96.9221,0.472,3.1,0.209,0.877,75.4,0.1705,0,0
Alabama,AL,90,0.015910604602974915,96.9221,0.472,3.1,0.209,0.877,75.4,0.1705,1,0
Alabama,AL,180,0.047957933512584594,96.9221,0.472,3.1,0.209,0.877,75.4,0.1705,0,1
Arkansas,AR,30,0.0010031197022740725,58.403,0.458,3.2,0.223,0.877,75.9,0.1706,0,0
Arkansas,AR,90,0.005884968920007891,58.403,0.458,3.2,0.223,0.877,75.9,0.1706,1,0
Arkansas,AR,180,0.0314310840045876,58.403,0.458,3.2,0.223,0.877,75.9,0.1706,0,1
Arizona,AZ,30,0.0016554670720401688,64.9549,0.455,1.9,0.156,0.908,79.9,0.1572,0,0
Arizona,AZ,90,0.016223577305993653,64.9549,0.455,1.9,0.156,0.908,79.9,0.1572,1,0
Arizona,AZ,180,0.07559006604593849,64.9549,0.455,1.9,0.156,0.908,79.9,0.1572,0,1
California,CA,30,8.173941474579042e-5,256.3728,0.471,1.8,0.113,0.93,81.6,0.1402,0,0
California,CA,90,0.009047531469674677,256.3728,0.471,1.8,0.113,0.93,81.6,0.1402,1,0
California,CA,180,0.02943385237861697,256.3728,0.471,1.8,0.113,0.93,81.6,0.1402,0,1
Colorado,CO,30,0.003489334929146614,56.4012,0.457,1.9,0.146,0.942,80.5,0.1068,0,0
Colorado,CO,90,0.027607328688118542,56.4012,0.457,1.9,0.146,0.942,80.5,0.1068,1,0
Colorado,CO,180,0.0356346069707149,56.4012,0.457,1.9,0.146,0.942,80.5,0.1068,0,1
Connecticut,CT,30,0.01697612732095491,735.8695,0.486,2,0.127,0.953,80.9,0.0973,0,0
Connecticut,CT,90,0.11687840290381125,735.8695,0.486,2,0.127,0.953,80.9,0.0973,1,0
Connecticut,CT,180,0.12508725394387826,735.8695,0.486,2,0.127,0.953,80.9,0.0973,0,1
Delaware,DE,30,0.0054765954533725824,504.3073,0.44,2.2,0.17,0.93,78.4,0.1156,0,0
Delaware,DE,90,0.044655316773653364,504.3073,0.44,2.2,0.17,0.93,78.4,0.1156,1,0
Delaware,DE,180,0.06498191143713236,504.3073,0.44,2.2,0.17,0.93,78.4,0.1156,0,1
Florida,FL,30,0.0015681057961656657,410.1259,0.474,2.6,0.161,0.909,80,0.1449,0,0
Florida,FL,90,0.013108005107267175,410.1259,0.474,2.6,0.161,0.909,80,0.1449,1,0
Florida,FL,180,0.057340240119234304,410.1259,0.474,2.6,0.161,0.909,80,0.1449,0,1
Georgia,GA,30,0.0030978392813789755,186.6726,0.468,2.4,0.175,0.902,77.8,0.1561,0,0
Georgia,GA,90,0.021111920369021608,186.6726,0.468,2.4,0.175,0.902,77.8,0.1561,1,0
Georgia,GA,180,0.056984705025491626,186.6726,0.468,2.4,0.175,0.902,77.8,0.1561,0,1
Hawaii,HI,30,6.328980401257358e-4,219.9424,0.433,1.9,0.128,0.94,82.3,0.0967,0,0
Hawaii,HI,90,0.0011954740757930563,219.9424,0.433,1.9,0.128,0.94,82.3,0.0967,1,0
Hawaii,HI,180,0.0067509124280078475,219.9424,0.433,1.9,0.128,0.94,82.3,0.0967,0,1
Iowa,IA,30,9.257781324820431e-4,56.9284,0.427,3,0.171,0.928,79.4,0.1129,0,0
Iowa,IA,90,0.01960095770151636,56.9284,0.427,3,0.171,0.928,79.4,0.1129,1,0
Iowa,IA,180,0.03719074221867518,56.9284,0.427,3,0.171,0.928,79.4,0.1129,0,1
Idaho,ID,30,0.0025476801298724384,22.097,0.433,1.9,0.14300000000000002,0.907,79.3,0.1356,0,0
Idaho,ID,90,0.005213857009971502,22.097,0.433,1.9,0.14300000000000002,0.907,79.3,0.1356,1,0
Idaho,ID,180,0.024825069172477943,22.097,0.433,1.9,0.14300000000000002,0.907,79.3,0.1356,0,1
Illinois,IL,30,0.0036033225441640996,228.0246,0.465,2.5,0.155,0.929,79.3,0.1276,0,0
Illinois,IL,90,0.04604765433061654,228.0246,0.465,2.5,0.155,0.929,79.3,0.1276,1,0
Illinois,IL,180,0.06539796435674453,228.0246,0.465,2.5,0.155,0.929,79.3,0.1276,0,1
Indiana,IN,30,0.005273125290963521,188.2809,0.44,2.7,0.218,0.906,77,0.1369,0,0
Indiana,IN,90,0.035480600172054545,188.2809,0.44,2.7,0.218,0.906,77,0.1369,1,0
Indiana,IN,180,0.05092332423844772,188.2809,0.44,2.7,0.218,0.906,77,0.1369,0,1
