STATE,TIME,MR,PD,HDI,GINI,BEDS,PR,SR,AT,MA,T60,T90,T120
Alabama,30,0.002425647730169302,96.9221,0.877,0.472,3.1,0.1705,0.209,62.8,38.9,0,0,0
Alabama,60,0.009928710624337058,96.9221,0.877,0.472,3.1,0.1705,0.209,62.8,38.9,1,0,0
Alabama,90,0.015890048266278562,96.9221,0.877,0.472,3.1,0.1705,0.209,62.8,38.9,0,1,0
Alabama,120,0.02392757591455142,96.9221,0.877,0.472,3.1,0.1705,0.209,62.8,38.9,0,0,1
Alaska,30,0.0012186601238158685,1.2863,0.937,0.422,2.2,0.1054,0.21,26.6,34,0,0,0
Alaska,60,0.001354066804239854,1.2863,0.937,0.422,2.2,0.1054,0.21,26.6,34,1,0,0
Alaska,90,0.001624880165087825,1.2863,0.937,0.422,2.2,0.1054,0.21,26.6,34,0,1,0
Alaska,120,0.002437320247631737,1.2863,0.937,0.422,2.2,0.1054,0.21,26.6,34,0,0,1
Arizona,30,0.0024328168276068567,64.9549,0.908,0.455,1.9,0.1572,0.156,60.3,37.4,0,0,0
Arizona,60,0.009788848773802736,64.9549,0.908,0.455,1.9,0.1572,0.156,60.3,37.4,1,0,0
Arizona,90,0.017677509256220237,64.9549,0.908,0.455,1.9,0.1572,0.156,60.3,37.4,0,1,0
Arizona,120,0.03587325168281827,64.9549,0.908,0.455,1.9,0.1572,0.156,60.3,37.4,0,0,1
Arkansas,30,0.0011034316725014796,58.403,0.877,0.458,3.2,0.1706,0.223,60.4,37.9,0,0,0
Arkansas,60,0.0032768576940953027,58.403,0.877,0.458,3.2,0.1706,0.223,60.4,37.9,1,0,0
Arkansas,90,0.005985280890235299,58.403,0.877,0.458,3.2,0.1706,0.223,60.4,37.9,0,1,0
Arkansas,120,0.01106775404842393,58.403,0.877,0.458,3.2,0.1706,0.223,60.4,37.9,0,0,1
California,30,5.083169854503841e-4,256.3728,0.93,0.471,1.8,0.1402,0.113,59.4,36.3,0,0,0
California,60,0.005430562367173451,256.3728,0.93,0.471,1.8,0.1402,0.113,59.4,36.3,1,0,0
California,90,0.010656776197482426,256.3728,0.93,0.471,1.8,0.1402,0.113,59.4,36.3,0,1,0
California,120,0.015535597515121792,256.3728,0.93,0.471,1.8,0.1402,0.113,59.4,36.3,0,0,1
Colorado,30,0.004085956963663911,56.4012,0.942,0.457,1.9,0.1068,0.146,45.1,36.6,0,0,0
Colorado,60,0.017555151379281667,56.4012,0.942,0.457,1.9,0.1068,0.146,45.1,36.6,1,0,0
Colorado,90,0.028077394533495805,56.4012,0.942,0.457,1.9,0.1068,0.146,45.1,36.6,0,1,0
Colorado,120,0.03084355123898509,56.4012,0.942,0.457,1.9,0.1068,0.146,45.1,36.6,0,0,1
Connecticut,30,0.01680859974870864,735.8695,0.953,0.486,2,0.0973,0.127,49,40.8,0,0,0
Connecticut,60,0.0872539438782633,735.8695,0.953,0.486,2,0.0973,0.127,49,40.8,1,0,0
Connecticut,90,0.11612452882870306,735.8695,0.953,0.486,2,0.0973,0.127,49,40.8,0,1,0
Connecticut,120,0.12140164735446042,735.8695,0.953,0.486,2,0.0973,0.127,49,40.8,0,0,1
Delaware,30,0.008846808040063402,504.3073,0.93,0.44,2.2,0.1156,0.17,55.3,40.2,0,0,0
Delaware,60,0.039599997893617137,504.3073,0.93,0.44,2.2,0.1156,0.17,55.3,40.2,1,0,0
Delaware,90,0.05687233740040759,504.3073,0.93,0.44,2.2,0.1156,0.17,55.3,40.2,0,1,0
Delaware,120,0.06003191170043023,504.3073,0.93,0.44,2.2,0.1156,0.17,55.3,40.2,0,0,1
Florida,30,0.0018933785154941476,410.1259,0.909,0.474,2.6,0.1449,0.161,70.7,41.9,0,0,0
Florida,60,0.008355139551706225,410.1259,0.909,0.474,2.6,0.1449,0.161,70.7,41.9,1,0,0
Florida,90,0.013423568193182866,410.1259,0.909,0.474,2.6,0.1449,0.161,70.7,41.9,0,1,0
Florida,120,0.019462960175938557,410.1259,0.909,0.474,2.6,0.1449,0.161,70.7,41.9,0,0,1
Georgia,30,0.004039815489196407,186.6726,0.902,0.468,2.4,0.1561,0.175,63.5,36.5,0,0,0
Georgia,60,0.013653799465889778,186.6726,0.902,0.468,2.4,0.1561,0.175,63.5,36.5,1,0,0
Georgia,90,0.02218985190580238,186.6726,0.902,0.468,2.4,0.1561,0.175,63.5,36.5,0,1,0
Georgia,120,0.028453508133042003,186.6726,0.902,0.468,2.4,0.1561,0.175,63.5,36.5,0,0,1
Hawaii,30,6.328980401257358e-4,219.9424,0.94,0.433,1.9,0.0967,0.128,70,38.9,0,0,0
Hawaii,60,0.0011954740757930563,219.9424,0.94,0.433,1.9,0.0967,0.128,70,38.9,1,0,0
Hawaii,90,0.0011954740757930563,219.9424,0.94,0.433,1.9,0.0967,0.128,70,38.9,0,1,0
Hawaii,120,0.0016174061025435468,219.9424,0.94,0.433,1.9,0.0967,0.128,70,38.9,0,0,1
Idaho,30,0.002606928504985751,22.097,0.907,0.433,1.9,0.1356,0.14300000000000002,44.4,36.1,0,0,0
Idaho,60,0.004562124883725064,22.097,0.907,0.433,1.9,0.1356,0.14300000000000002,44.4,36.1,1,0,0
Idaho,90,0.005273105385084814,22.097,0.907,0.433,1.9,0.1356,0.14300000000000002,44.4,36.1,0,1,0
Idaho,120,0.007050556638484189,22.097,0.907,0.433,1.9,0.1356,0.14300000000000002,44.4,36.1,0,0,1
Illinois,30,0.004118082907616114,228.0246,0.929,0.465,2.5,0.1276,0.155,51.8,37.9,0,0,0
Illinois,60,0.026120188745466597,228.0246,0.929,0.465,2.5,0.1276,0.155,51.8,37.9,1,0,0
Illinois,90,0.046203642319541396,228.0246,0.929,0.465,2.5,0.1276,0.155,51.8,37.9,0,1,0
Illinois,120,0.05536793666887649,228.0246,0.929,0.465,2.5,0.1276,0.155,51.8,37.9,0,0,1
