submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
05/04/2020,KY,"5,245","5,245",0,115,0,261,261,0,8,0,05/05/2020 05:25:08 PM,Agree,Agree
03/23/2020,NH,101,,,23,,1,,,1,,03/26/2020 04:22:39 PM,Not agree,Not agree
04/11/2020,IL,"19,180",,,"1,293",,677,,,81,,04/10/2020 04:22:39 PM,Agree,Agree
01/01/2021,FL,"1,300,528",,,0,"6,063","21,673",,,0,7,01/02/2021 02:50:51 PM,Not agree,Not agree
04/09/2020,PA,"18,228",,,"1,989",,338,,,28,,04/08/2020 04:22:39 PM,Agree,Not agree
08/21/2020,MD,"103,523",,,624,0,"3,685","3,546",139,11,1,08/22/2020 02:21:09 PM,N/A,Agree
04/30/2020,IA,"7,145",,,302,0,162,,,14,0,05/01/2020 09:00:19 PM,Not agree,Not agree
02/26/2020,UT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/12/2020,NJ,29,,,6,,1,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/21/2020,MP,69,69,0,0,0,2,2,0,0,0,09/22/2020 01:51:57 PM,Agree,Agree
06/25/2020,NE,"18,346",,,125,0,260,,,3,0,06/26/2020 07:18:27 PM,Not agree,Not agree
02/24/2020,CA,10,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/28/2020,PA,"85,988","83,529","2,459",492,13,"6,614",,,8,4,06/29/2020 02:37:31 PM,Agree,Not agree
05/04/2020,WV,"1,224","1,224",0,29,0,50,,,0,0,05/05/2020 05:25:08 PM,Agree,Not agree
04/07/2020,GU,122,,,11,,4,,,0,,04/07/2020 04:22:39 PM,Not agree,Not agree
07/01/2020,FSM,0,0,0,0,0,0,0,0,0,0,07/02/2020 03:10:03 PM,Agree,Agree
12/02/2020,NY,"346,492",,,"5,775",0,"10,117",,,56,0,12/03/2020 03:21:08 PM,Not agree,Not agree
01/23/2020,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
11/14/2020,NJ,"295,012",,,"4,856",503,"16,548","14,747","1,801",26,0,02/19/2021 01:38:31 PM,Not agree,Agree
11/15/2020,WA,"130,040",,,"2,309",0,"2,519",,,0,0,11/16/2020 06:40:02 PM,N/A,N/A
01/29/2020,MA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/23/2020,TN,"143,937","141,000","2,937","1,854",38,"1,567","1,527",40,4,0,08/24/2020 01:54:34 PM,Agree,Agree
01/24/2020,NH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/21/2020,OR,"6,937","6,700",237,187,237,190,188,2,1,2,06/22/2020 03:24:02 PM,Agree,Agree
09/26/2020,PW,0,,,0,0,0,,,0,0,09/27/2020 01:39:49 PM,,
05/16/2020,AS,0,,,0,0,0,,,0,0,05/17/2020 03:27:46 PM,,
03/13/2020,MS,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/08/2020,PW,0,,,0,0,0,,,0,0,09/09/2020 01:47:50 PM,,
05/26/2020,MA,"93,693","93,693",0,422,0,"6,473","6,473",0,57,0,05/27/2020 03:37:59 PM,Agree,Agree
07/29/2020,NV,"46,021",,,870,0,806,,,21,0,07/30/2020 02:42:43 PM,,
08/01/2020,ME,"3,958","3,535",423,21,2,123,122,1,0,0,08/02/2020 02:54:37 PM,Agree,Agree
03/28/2020,NH,214,,,27,,2,,,0,,03/28/2020 04:22:39 PM,Not agree,Not agree
05/04/2020,MP,14,14,0,0,0,2,2,0,0,0,05/05/2020 05:25:08 PM,Agree,Agree
12/02/2020,AR,"161,521",,,"2,212",705,"2,522",,,10,2,12/03/2020 03:21:08 PM,Not agree,Not agree
06/07/2020,PW,0,,,0,0,0,,,0,0,06/08/2020 02:55:08 PM,,
05/08/2020,NJ,"135,519",,,"1,834",15,"8,952","8,952",0,151,0,02/19/2021 01:38:31 PM,Not agree,Agree
05/14/2020,VA,"28,672","27,293","1,379",859,35,977,944,33,22,5,05/15/2020 04:11:22 PM,Agree,Agree
01/09/2021,AR,"251,746",,,"2,886",735,"4,010",,,44,10,01/10/2021 04:10:55 PM,Not agree,Not agree
03/15/2020,MA,164,,,55,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
05/28/2020,IL,"115,833","115,833",0,"1,527",0,"5,186","5,186",0,103,0,05/29/2020 02:19:55 PM,Agree,Agree
08/05/2020,WY,"2,923","2,424",499,39,7,27,27,0,0,0,08/06/2020 02:12:27 PM,Agree,Agree
10/28/2020,ID,"61,785","54,193","7,592",862,208,599,555,44,14,0,10/29/2020 02:11:33 PM,Agree,Agree
05/31/2020,DC,"8,801",,,84,0,466,,,4,0,06/01/2020 02:17:42 PM,,
08/18/2020,AZ,"194,920","193,416","1,504",915,13,"4,529","4,273",256,23,2,08/19/2020 02:23:51 PM,Agree,Agree
07/12/2020,DE,"12,879","11,898",981,-99,-63,517,459,58,-1,1,07/13/2020 03:19:34 PM,Agree,Agree
09/19/2020,IN,"110,759",,,"1,076",0,"3,503","3,278",225,8,0,09/20/2020 01:53:10 PM,Not agree,Agree
02/29/2020,MP,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/09/2020,NV,"10,030",,,225,-19,444,,,-17,-19,06/10/2020 08:56:25 PM,,
10/14/2020,DE,"22,465","21,380","1,085",71,2,660,580,80,1,0,10/15/2020 01:30:46 PM,Agree,Agree
05/22/2020,OR,"3,864","3,770",94,47,2,147,147,0,2,0,05/23/2020 05:58:16 PM,Agree,Agree
02/08/2020,OR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/18/2020,OR,75,,,10,,3,,,2,,03/26/2020 04:22:39 PM,Agree,Agree
02/14/2020,RI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,N/A
01/30/2021,FSM,1,1,0,0,0,0,0,0,0,0,01/31/2021 02:48:12 PM,Agree,Agree
03/23/2020,ME,109,,,16,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/11/2021,OR,"149,082","147,362","1,720",607,0,"2,056","2,041",15,12,0,02/12/2021 02:56:38 PM,Agree,Agree
12/04/2020,PR,"55,532","53,633","1,899",935,86,"1,184",955,229,12,0,12/05/2020 02:29:17 PM,Agree,Agree
04/22/2020,NJ,"95,865","95,865",0,"3,478",0,"5,063","5,063",0,310,0,04/22/2020 04:22:39 PM,Agree,Agree
02/07/2021,RMI,4,4,0,0,0,0,0,0,0,0,02/08/2021 02:53:12 PM,Agree,Agree
10/06/2020,MT,"15,723","15,723",0,425,0,192,192,0,1,0,10/07/2020 01:45:01 PM,Agree,Agree
11/03/2020,NY,"248,091",,,"1,519",0,"9,290",,,8,0,11/04/2020 03:03:00 PM,Not agree,Not agree
07/14/2020,MS,"37,542","37,198",344,0,0,"1,272","1,249",23,-1,0,07/15/2020 03:05:12 PM,Agree,Agree
09/23/2020,NE,"42,278",,,493,0,462,,,1,0,09/24/2020 01:54:02 PM,Not agree,Not agree
08/13/2020,VT,"1,484",,,6,0,58,,,0,0,08/14/2020 02:30:03 PM,Not agree,Not agree
06/18/2020,WA,"27,192",,,408,0,"1,245",,,19,0,06/19/2020 03:01:11 PM,N/A,N/A
02/27/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
12/06/2020,AK,"35,720",,,757,0,142,,,0,0,12/07/2020 02:38:33 PM,N/A,N/A
01/12/2021,AS,3,,,0,0,0,,,0,0,01/13/2021 02:44:58 PM,,
03/17/2020,NM,23,,,2,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Not agree
08/31/2020,KS,"42,612","41,425","1,187","1,564",0,446,,,3,0,09/01/2020 02:09:34 PM,Agree,N/A
03/11/2020,NY,164,,,27,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
02/28/2020,NJ,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
12/29/2020,TX,"1,715,978",,,"32,552","4,532","26,762",,,241,0,12/30/2020 02:56:20 PM,Not agree,Not agree
11/17/2020,OK,"169,762","143,221","26,541","7,389","1,406","1,592","1,531",61,49,6,11/18/2020 02:57:46 PM,Agree,Agree
01/12/2021,IA,"298,406",,,"1,105",460,"4,222",,,83,83,01/13/2021 02:44:58 PM,Not agree,Not agree
03/09/2020,NYC,17,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/11/2021,ND,"94,968","91,357","3,611",138,89,"1,355",,,3,0,01/12/2021 02:48:35 PM,Agree,Not agree
12/15/2020,FSM,0,0,0,0,0,0,0,0,0,0,12/16/2020 02:28:57 PM,Agree,Agree
07/23/2020,MP,38,38,0,0,0,2,2,0,0,0,07/24/2020 02:18:40 PM,Agree,Agree
10/30/2020,TN,"259,488","244,886","14,602","2,608",297,"3,341","3,156",185,78,9,10/31/2020 01:30:31 PM,Agree,Agree
07/02/2020,HI,956,,,28,0,18,,,0,0,07/03/2020 11:01:33 AM,Not agree,Not agree
10/28/2020,AR,"108,640",,,961,271,"1,875",,,18,0,10/29/2020 02:11:33 PM,Not agree,Not agree
09/07/2020,WV,"11,575","11,368",207,163,9,247,,,1,0,09/08/2020 02:47:00 PM,Agree,Not agree
07/31/2020,IN,"66,154",,,901,0,"2,965","2,765",200,19,0,08/01/2020 02:38:12 PM,Not agree,Agree
