State,state,Pop_2020,PD,HDI,GINI,BEDS,PR,SR,LE
Alabama,AL,4864680,96.9221,0.877,0.472,3.1,0.1705,0.209,75.4
Alaska,AK,738516,1.2863,0.937,0.422,2.2,0.1054,0.21,78.8
Arizona,AZ,6946680,64.9549,0.908,0.455,1.9,0.1572,0.156,79.9
Arkansas,AR,2990670,58.403,0.877,0.458,3.2,0.1706,0.223,75.9
California,CA,39148800,256.3728,0.93,0.471,1.8,0.1402,0.113,81.6
Colorado,CO,5531140,56.4012,0.942,0.457,1.9,0.1068,0.146,80.5
Connecticut,CT,3581500,735.8695,0.953,0.486,2,0.0973,0.127,80.9
Delaware,DE,949495,504.3073,0.93,0.44,2.2,0.1156,0.17,78.4
Florida,FL,20598100,410.1259,0.909,0.474,2.6,0.1449,0.161,80
Georgia,GA,10297500,186.6726,0.902,0.468,2.4,0.1561,0.175,77.8
Hawaii,HI,1422030,219.9424,0.94,0.433,1.9,0.0967,0.128,82.3
Idaho,ID,1687810,22.097,0.907,0.433,1.9,0.1356,0.14300000000000002,79.3
Illinois,IL,12821500,228.0246,0.929,0.465,2.5,0.1276,0.155,79.3
Indiana,IN,6637430,188.2809,0.906,0.44,2.7,0.1369,0.218,77
Iowa,IA,3132500,56.9284,0.928,0.427,3,0.1129,0.171,79.4
Kansas,KS,2908780,35.5968,0.922,0.445,3.3,0.1204,0.174,78.5
Kentucky,KY,4440200,113.9566,0.881,0.466,3.2,0.1739,0.24600000000000002,75.4
Louisiana,LA,4663620,107.5174,0.885,0.475,3.3,0.1884,0.231,76.1
Maine,ME,1332810,43.6336,0.914,0.437,2.5,0.1214,0.17300000000000001,78.7
Maryland,MD,6003440,626.6735,0.935,0.443,1.9,0.0922,0.138,79.1
Massachusetts,MA,6830190,894.4359,0.956,0.475,2.3,0.104,0.13699999999999998,80.5
Michigan,MI,9957490,177.665,0.912,0.451,2.5,0.1463,0.193,78
Minnesota,MN,5527360,71.5922,0.947,0.44,2.5,0.099,0.145,80.9
Mississippi,MS,2988760,63.7056,0.863,0.468,4,0.2007,0.222,74.9
Missouri,MO,6090060,89.7453,0.905,0.455,3.1,0.1376,0.20800000000000002,77.3
Montana,MT,1041730,7.4668,0.917,0.435,3.3,0.1335,0.172,78.8
Nebraska,NE,1904760,25.4161,0.934,0.432,3.6,0.1122,0.154,79.6
Nevada,NV,2922850,28.5993,0.902,0.448,2.1,0.1346,0.17600000000000002,78.5
New Hampshire,NH,1343620,153.161,0.943,0.425,2.1,0.0762,0.157,79.5
New Jersey,NJ,8881840,1215.1985,0.943,0.464,2.4,0.1018,0.13699999999999998,80.4
New Mexico,NM,2092430,17.285,0.9,0.464,1.8,0.1961,0.175,78.1
New York,NY,19618500,412.5218,0.942,0.499,2.7,0.1426,0.141,81.3
North Carolina,NC,10155600,218.271,0.905,0.464,2.1,0.1501,0.172,78
North Dakota,ND,752201,11.0393,0.942,0.433,4.3,0.1054,0.183,79.9
Ohio,OH,11641900,287.504,0.913,0.452,2.8,0.1414,0.21100000000000002,76.9
Oklahoma,OK,3918140,57.6546,0.894,0.454,2.8,0.1551,0.201,76
Oregon,OR,4081940,44.8086,0.929,0.449,1.6,0.1385,0.161,79.8
Pennsylvania,PA,12791200,286.5454,0.922,0.461,2.9,0.1234,0.187,78.3
Rhode Island,RI,1056610,1021.4313,0.92,0.467,2.1,0.1259,0.149,79.9
South Carolina,SC,4955920,173.3176,0.89,0.461,2.4,0.1555,0.188,77
South Dakota,SD,864289,11.9116,0.929,0.442,4.8,0.1309,0.193,79.1
Tennessee,TN,6651090,167.2749,0.892,0.468,2.9,0.1573,0.226,76
Texas,TX,27885200,112.8204,0.909,0.469,2.3,0.1511,0.157,79.1
Utah,UT,3045350,39.943,0.93,0.419,1.8,0.1018,0.08900000000000001,79.9
Vermont,VT,624977,68.1416,0.936,0.444,2.1,0.1073,0.158,79.7
Virginia,VA,8413770,218.4404,0.929,0.459,2.1,0.1062,0.16399999999999998,79.5
Washington,WA,7294340,117.3273,0.94,0.441,1.7,0.1126,0.135,80.4
West Virginia,WV,1829050,73.9691,0.872,0.451,3.8,0.1725,0.26,74.8
Wisconsin,WI,5778390,108.0496,0.928,0.43,2.1,0.1156,0.16,79.4
Wyoming,WY,581836,5.84,0.932,0.423,3.5,0.1088,0.187,79
